soru_metni,sik_a,sik_b,sik_c,sik_d,sik_e,dogru_cevap,zorluk,konular,aciklama,ders_ad
"x²+y²−4x−6y+9=0 çemberinin merkezi nedir?","(2,3)","(1,2)","(−2,−3)","(3,3)","","A",4,"Analitik Geometri,Çember","Tam kareye tamamlama yöntemi","Matematik"
"Bir fonksiyonun tanımı: f(x)=3x²−4x+2. f(−2) nedir?","22","18","14","10","","A",4,"Fonksiyonlar,İşlem","x=−2 ⇒ f(−2)=22","Matematik"
"x>0 için \\log_2(x)+\\log_2(2x)=3 ise x nedir?","2","3","4","5","","C",5,"Logaritma,Toplama","log₂(2x²)=3 ⇒ 2x²=8 ⇒ x=2","Matematik"
"Bir dik prizmanın tabanı 6x8, yüksekliği 4. Hacim?","144","160","192","200","","C",4,"Geometri,Prizma","V=taban·yükseklik=192","Matematik"
"f(x)=x³−3x+2 denkleminin köklerinden biri nedir?","1","−1","2","−2","","A",5,"Polinomlar,Kök Bulma","f(1)=0 ⇒ kök=1","Matematik"
"\\frac{x−3}{2}=5 ⇒ x=?","5","7","9","11","","C",4,"Cebir,Denklemler","Basit denklem çözümü","Matematik"
"x²−5x+6=0 denkleminin köklerinin çarpımı?","5","6","10","15","","B",4,"İkinci Derece Denklemler","c/a ⇒ 6","Matematik"
"\\frac{1}{x+1}+\\frac{1}{x−1}=\\frac{3}{4} ⇒ x=?", "2","3","4","5","","B",5,"Rasyonel Denklemler","Denklem sadeleştirilebilir.","Matematik"
"y=|x−3|+2 fonksiyonunun minimum değeri?","0","1","2","3","","C",4,"Mutlak Değer,Fonksiyon","Minimum 2","Matematik"
"x³−8=0 denkleminin reel kökü?","1","2","3","−2","","B",4,"Kübik Denklemler","Kök: 2","Matematik"
"Bir doğru (2,3) noktasından geçiyor ve eğimi 4. Denklemi nedir?","y=4x+3","y=4x−5","y=4x−8","y=4x−2","","B",4,"Analitik Geometri,Doğrular","y−3=4(x−2) ⇒ y=4x−5","Matematik"
"x²+4x+4=0 denklemi için x=?","−2","2","−4","4","","A",4,"Denklemler,Tam Kare","(x+2)²=0 ⇒ x=−2","Matematik"
"Bir kürenin hacmi 288π ise yarıçapı?","4","6","8","9","","B",4,"Geometri,Küre","(4/3)πr³=288π ⇒ r=6","Matematik"
"x²−4=0 ⇒ x=?", "−2","0","2","−4","","A",4,"Cebir,Köklü Denklem","Kökler ±2","Matematik"
"\\frac{1}{x} + \\frac{1}{x+1} = \\frac{1}{2} ise x nedir?","1","2","3","4","","C",5,"Rasyonel Denklemler","Karma kesir işlemi","Matematik"
"Bir üçgenin kenarları 7,24,25. Alanı?","70","80","84","90","","C",4,"Geometri,Üçgen","Dik üçgen ⇒ alan=84","Matematik"
"f(x)=x²−2x+1 fonksiyonunun minimum değeri?","0","1","2","3","","A",4,"Fonksiyon,Parabol","Tepe noktası (1,0)","Matematik"
"Bir logaritma ifadesi: \\log_5(25x)=3 ise x nedir?","4","8","5","6","","A",4,"Logaritma,Denklemler","25x=125 ⇒ x=5","Matematik"
"Bir dikdörtgenin köşegen uzunluğu 10, kısa kenarı 6. Uzun kenar?","6","7","8","9","","C",4,"Geometri,Dikdörtgen","a²+b²=c² ⇒ 8","Matematik"
"x²−9x+20=0 ⇒ kökler farkı?","1","2","3","4","","C",4,"İkinci Derece Denklemler","Δ=1, fark=1","Matematik"
"Bir doğru x−2y+4=0. Eğimi?","−2","1/2","2","−1/2","","B",4,"Analitik Geometri,Doğrular","m=−A/B","Matematik"
"\\log_2(x+1)=3 ⇒ x=?","6","7","8","9","","C",4,"Logaritma","x=7","Matematik"
"Bir parabolün denklemi y=x²−6x+8. Tepe noktası?","(2,2)","(3,−1)","(3,−2)","(1,3)","","B",4,"Parabol,Analitik Geometri","x=3 ⇒ y=−1","Matematik"
